Source,Target,Weight,SubNodes,SourceUrl,TargetUrl
1,11,1,5906,http://agriculture.house.gov/,http://house.gov/rules/
1,48,2,5906,http://agriculture.house.gov/,http://house.gov/alexander/
1,51,2,5906,http://agriculture.house.gov/,http://www.house.gov/baca/
1,56,2,5906,http://agriculture.house.gov/,http://www.house.gov/ballance/
1,80,2,5906,http://agriculture.house.gov/,http://www.house.gov/bonner/
1,84,2,5906,http://agriculture.house.gov/,http://house.gov/boswell/
1,106,2,5906,http://agriculture.house.gov/,http://www.house.gov/cardoza/
1,113,2,5906,http://agriculture.house.gov/,http://www.house.gov/chocola/
1,135,2,5906,http://agriculture.house.gov/,http://www.house.gov/lincolndavis/
1,151,2,5906,http://agriculture.house.gov/,http://dooley.house.gov/
1,164,2,5906,http://agriculture.house.gov/,http://house.gov/etheridge/
1,193,4,5906,http://agriculture.house.gov/,http://house.gov/goodlatte/
1,197,2,5906,http://agriculture.house.gov/,http://house.gov/graves/
1,202,2,5906,http://agriculture.house.gov/,http://house.gov/gutknecht/
1,215,2,5906,http://agriculture.house.gov/,http://house.gov/baronhill/
1,220,2,5906,http://agriculture.house.gov/,http://house.gov/holden/
1,238,2,5906,http://agriculture.house.gov/,http://house.gov/jenkins/
1,243,2,5906,http://agriculture.house.gov/,http://house.gov/timjohnson/
1,256,2,5906,http://agriculture.house.gov/,http://www.house.gov/steveking/
1,267,2,5906,http://agriculture.house.gov/,http://house.gov/larsen/
1,281,2,5906,http://agriculture.house.gov/,http://house.gov/lucas/
1,282,2,5906,http://agriculture.house.gov/,http://house.gov/kenlucas/
1,299,2,5906,http://agriculture.house.gov/,http://house.gov/mcintyre/
1,316,2,5906,http://agriculture.house.gov/,http://house.gov/moranks01/
1,337,2,5906,http://agriculture.house.gov/,http://house.gov/osborne/
1,338,2,5906,http://agriculture.house.gov/,http://house.gov/ose/
1,350,2,5906,http://agriculture.house.gov/,http://collinpeterson.house.gov/
1,353,2,5906,http://agriculture.house.gov/,http://house.gov/pickering/
1,356,2,5906,http://agriculture.house.gov/,http://house.gov/pombo/pombo.htm
1,357,2,5906,http://agriculture.house.gov/,http://house.gov/pomeroy/
1,361,2,5906,http://agriculture.house.gov/,http://house.gov/putnam/
1,369,2,5906,http://agriculture.house.gov/,http://house.gov/rehberg/
1,376,2,5906,http://agriculture.house.gov/,http://www.house.gov/mike-rogers/
1,379,2,5906,http://agriculture.house.gov/,http://house.gov/ross/
1,396,2,5906,http://agriculture.house.gov/,http://www.house.gov/davidscott/
1,416,2,5906,http://agriculture.house.gov/,http://house.gov/nicksmith/
1,423,2,5906,http://agriculture.house.gov/,http://house.gov/stenholm/
1,436,2,5906,http://agriculture.house.gov/,http://house.gov/thompson/
1,437,2,5906,http://agriculture.house.gov/,http://house.gov/mthompson/
1,490,2,5906,http://agriculture.house.gov/,http://www.house.gov/burns/
3,44,3,3779,http://armedservices.house.gov/,http://house.gov/abercrombie/
3,47,1,3779,http://armedservices.house.gov/,http://house.gov/akin/
3,48,1,3779,http://armedservices.house.gov/,http://house.gov/alexander/
3,72,1,3779,http://armedservices.house.gov/,http://www.house.gov/robbishop/
3,83,1,3779,http://armedservices.house.gov/,http://www.house.gov/bordallo/
3,87,1,3779,http://armedservices.house.gov/,http://www.house.gov/bradley/
3,98,2,3779,http://armedservices.house.gov/,http://house.gov/calvert/
3,118,1,3779,http://armedservices.house.gov/,http://www.house.gov/cole/
3,134,1,3779,http://armedservices.house.gov/,http://house.gov/joanndavis/
3,136,1,3779,http://armedservices.house.gov/,http://house.gov/susandavis/
3,165,3,3779,http://armedservices.house.gov/,http://house.gov/evans/
3,180,1,3779,http://armedservices.house.gov/,http://www.house.gov/franks/
3,190,1,3779,http://armedservices.house.gov/,http://www.house.gov/gingrey/
3,215,1,3779,http://armedservices.house.gov/,http://house.gov/baronhill/
3,224,3,3779,http://armedservices.house.gov/,http://house.gov/hostettler/
3,232,1,3779,http://armedservices.house.gov/,http://house.gov/israel/
3,245,3,3779,http://armedservices.house.gov/,http://house.gov/jones/
3,265,1,3779,http://armedservices.house.gov/,http://house.gov/langevin/
3,268,1,3779,http://armedservices.house.gov/,http://house.gov/larson/
3,278,1,3779,http://armedservices.house.gov/,http://www.house.gov/lobiondo/
3,302,3,3779,http://armedservices.house.gov/,http://house.gov/meehan/
3,303,1,3779,http://armedservices.house.gov/,http://www.house.gov/kenmeek/
3,310,1,3779,http://armedservices.house.gov/,http://www.house.gov/candicemiller/
3,313,1,3779,http://armedservices.house.gov/,http://house.gov/jeffmiller/
3,376,1,3779,http://armedservices.house.gov/,http://www.house.gov/mike-rogers/
3,395,1,3779,http://armedservices.house.gov/,http://schrock.house.gov/
3,409,1,3779,http://armedservices.house.gov/,http://house.gov/simmons/
3,411,3,3779,http://armedservices.house.gov/,http://house.gov/skelton/
3,417,3,3779,http://armedservices.house.gov/,http://house.gov/snyder/
3,420,3,3779,http://armedservices.house.gov/,http://house.gov/spratt/
3,430,2,3779,http://armedservices.house.gov/,http://house.gov/tauscher/
3,438,3,3779,http://armedservices.house.gov/,http://house.gov/thornberry/
3,444,3,3779,http://armedservices.house.gov/,http://house.gov/turner/
3,445,1,3779,http://armedservices.house.gov/,http://www.house.gov/miketurner/
3,468,1,3779,http://armedservices.house.gov/,http://house.gov/joewilson/
4,10,2,6227,http://edworkforce.house.gov/,http://resourcescommittee.house.gov/
4,11,1,6227,http://edworkforce.house.gov/,http://house.gov/rules/
4,15,1,6227,http://edworkforce.house.gov/,http://budget.house.gov/
4,50,4,6227,http://edworkforce.house.gov/,http://house.gov/andrews/
4,74,3,6227,http://edworkforce.house.gov/,http://www.house.gov/blackburn/
4,78,4,6227,http://edworkforce.house.gov/,http://johnboehner.house.gov/
4,109,3,6227,http://edworkforce.house.gov/,http://www.house.gov/carter/
4,111,9,6227,http://edworkforce.house.gov/,http://house.gov/castle/
4,118,4,6227,http://edworkforce.house.gov/,http://www.house.gov/cole/
4,132,3,6227,http://edworkforce.house.gov/,http://house.gov/davis/
4,136,4,6227,http://edworkforce.house.gov/,http://house.gov/susandavis/
4,144,2,6227,http://edworkforce.house.gov/,http://demint.house.gov/
4,158,4,6227,http://edworkforce.house.gov/,http://house.gov/ehlers/
4,174,3,6227,http://edworkforce.house.gov/,http://house.gov/fletcher/
4,177,1,6227,http://edworkforce.house.gov/,http://house.gov/ford/
4,190,4,6227,http://edworkforce.house.gov/,http://www.house.gov/gingrey/
4,193,1,6227,http://edworkforce.house.gov/,http://house.gov/goodlatte/
4,200,5,6227,http://edworkforce.house.gov/,http://house.gov/greenwood/
4,219,11,6227,http://edworkforce.house.gov/,http://house.gov/hoekstra/
4,221,1,6227,http://edworkforce.house.gov/,http://house.gov/rholt/
4,231,1,6227,http://edworkforce.house.gov/,http://isakson.house.gov/
4,242,2,6227,http://edworkforce.house.gov/,http://www.samjohnson.house.gov/
4,248,2,6227,http://edworkforce.house.gov/,http://house.gov/keller/Frset.htm
4,252,4,6227,http://edworkforce.house.gov/,http://house.gov/kildee/
4,254,4,6227,http://edworkforce.house.gov/,http://house.gov/kind/
4,262,4,6227,http://edworkforce.house.gov/,http://house.gov/kucinich/
4,284,3,6227,http://edworkforce.house.gov/,http://www.house.gov/majette/
4,291,3,6227,http://edworkforce.house.gov/,http://house.gov/carolynmccarthy/
4,300,10,6227,http://edworkforce.house.gov/,http://house.gov/mckeon/
4,312,16,6227,http://edworkforce.house.gov/,http://house.gov/georgemiller/
4,330,6,6227,http://edworkforce.house.gov/,http://house.gov/norwood/
4,337,4,6227,http://edworkforce.house.gov/,http://house.gov/osborne/
4,340,4,6227,http://edworkforce.house.gov/,http://house.gov/owens/
4,346,5,6227,http://edworkforce.house.gov/,http://house.gov/payne/
4,352,3,6227,http://edworkforce.house.gov/,http://house.gov/petri/
4,355,4,6227,http://edworkforce.house.gov/,http://house.gov/platts/
4,360,1,6227,http://edworkforce.house.gov/,http://house.gov/pryce/
4,389,1,6227,http://edworkforce.house.gov/,http://house.gov/sanchez/
4,397,1,6227,http://edworkforce.house.gov/,http://house.gov/scott/
4,418,1,6227,http://edworkforce.house.gov/,http://house.gov/solis/
4,419,1,6227,http://edworkforce.house.gov/,http://house.gov/souder/
4,428,1,6227,http://edworkforce.house.gov/,http://house.gov/tancredo/
4,440,5,6227,http://edworkforce.house.gov/,http://house.gov/tiberi/
4,441,4,6227,http://edworkforce.house.gov/,http://house.gov/tierney/
4,448,4,6227,http://edworkforce.house.gov/,http://house.gov/upton/
4,449,3,6227,http://edworkforce.house.gov/,http://www.house.gov/vanhollen/
4,468,5,6227,http://edworkforce.house.gov/,http://house.gov/joewilson/
4,471,4,6227,http://edworkforce.house.gov/,http://house.gov/wu/
4,490,3,6227,http://edworkforce.house.gov/,http://www.house.gov/burns/
5,10,6,24412,http://energycommerce.house.gov/,http://resourcescommittee.house.gov/
5,11,2,24412,http://energycommerce.house.gov/,http://house.gov/rules/
5,133,1,24412,http://energycommerce.house.gov/,http://house.gov/jimdavis/
5,137,1,24412,http://energycommerce.house.gov/,http://house.gov/tomdavis/
5,203,2,24412,http://energycommerce.house.gov/,http://house.gov/ralphhall/
5,339,4,24412,http://energycommerce.house.gov/,http://house.gov/otter/
5,342,1,24412,http://energycommerce.house.gov/,http://house.gov/pallone/
5,351,128,24412,http://energycommerce.house.gov/,http://house.gov/johnpeterson/
5,375,1,24412,http://energycommerce.house.gov/,http://house.gov/mikerogers/
8,89,1,591,http://house.gov/cha/,http://house.gov/robertbrady/
8,133,1,591,http://house.gov/cha/,http://house.gov/jimdavis/
8,152,2,591,http://house.gov/cha/,http://house.gov/doolittle/
8,158,2,591,http://house.gov/cha/,http://house.gov/ehlers/
8,169,1,591,http://house.gov/cha/,http://house.gov/fattah/
8,226,1,591,http://house.gov/cha/,http://hoyer.house.gov/
8,268,2,591,http://house.gov/cha/,http://house.gov/larson/
8,276,2,591,http://house.gov/cha/,http://house.gov/linder/
8,306,2,591,http://house.gov/cha/,http://house.gov/mica/
8,308,1,591,http://house.gov/cha/,http://house.gov/millender-mcdonald/
8,327,5,591,http://house.gov/cha/,http://house.gov/ney/
8,372,2,591,http://house.gov/cha/,http://house.gov/reynolds/
8,427,1,591,http://house.gov/cha/,http://house.gov/sweeney/
8,435,2,591,http://house.gov/cha/,http://house.gov/billthomas/
8,436,1,591,http://house.gov/cha/,http://house.gov/thompson/
10,2,1,9920,http://resourcescommittee.house.gov/,http://house.gov/appropriations/
10,5,1,9920,http://resourcescommittee.house.gov/,http://energycommerce.house.gov/
10,11,2,9920,http://resourcescommittee.house.gov/,http://house.gov/rules/
10,44,3,9920,http://resourcescommittee.house.gov/,http://house.gov/abercrombie/
10,51,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/baca/
10,71,1,9920,http://resourcescommittee.house.gov/,http://house.gov/bishop/
10,72,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/robbishop/
10,83,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/bordallo/
10,98,6,9920,http://resourcescommittee.house.gov/,http://house.gov/calvert/
10,100,1,9920,http://resourcescommittee.house.gov/,http://house.gov/cannon/
10,106,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/cardoza/
10,107,1,9920,http://resourcescommittee.house.gov/,http://house.gov/bradcarson/
10,114,3,9920,http://resourcescommittee.house.gov/,http://house.gov/christian-christensen/
10,118,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/cole/
10,127,6,9920,http://resourcescommittee.house.gov/,http://house.gov/cubin/
10,151,2,9920,http://resourcescommittee.house.gov/,http://dooley.house.gov/
10,155,3,9920,http://resourcescommittee.house.gov/,http://house.gov/duncan/
10,167,3,9920,http://resourcescommittee.house.gov/,http://house.gov/faleomavaega/
10,173,3,9920,http://resourcescommittee.house.gov/,http://www.house.gov/flake/
10,183,4,9920,http://resourcescommittee.house.gov/,http://house.gov/gallegly/
10,187,3,9920,http://resourcescommittee.house.gov/,http://house.gov/gibbons/
10,188,2,9920,http://resourcescommittee.house.gov/,http://gilchrest.house.gov/
10,211,3,9920,http://resourcescommittee.house.gov/,http://www.house.gov/hayworth/
10,230,3,9920,http://resourcescommittee.house.gov/,http://house.gov/inslee/
10,245,1,9920,http://resourcescommittee.house.gov/,http://house.gov/jones/
10,252,3,9920,http://resourcescommittee.house.gov/,http://house.gov/kildee/
10,254,3,9920,http://resourcescommittee.house.gov/,http://house.gov/kind/
10,287,2,9920,http://resourcescommittee.house.gov/,http://house.gov/markey/
10,298,4,9920,http://resourcescommittee.house.gov/,http://house.gov/mcinnis/
10,312,3,9920,http://resourcescommittee.house.gov/,http://house.gov/georgemiller/
10,323,2,9920,http://resourcescommittee.house.gov/,http://napolitano.house.gov/
10,326,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/neugebauer/
10,336,3,9920,http://resourcescommittee.house.gov/,http://house.gov/ortiz/
10,337,3,9920,http://resourcescommittee.house.gov/,http://house.gov/osborne/
10,339,1,9920,http://resourcescommittee.house.gov/,http://house.gov/otter/
10,342,3,9920,http://resourcescommittee.house.gov/,http://house.gov/pallone/
10,347,2,9920,http://resourcescommittee.house.gov/,http://www.house.gov/pearce/
10,351,3,9920,http://resourcescommittee.house.gov/,http://house.gov/johnpeterson/
10,363,2,9920,http://resourcescommittee.house.gov/,http://radanovich.house.gov/
10,364,2,9920,http://resourcescommittee.house.gov/,http://house.gov/rahall/
10,369,3,9920,http://resourcescommittee.house.gov/,http://house.gov/rehberg/
10,370,3,9920,http://resourcescommittee.house.gov/,http://www.house.gov/renzi/
10,392,3,9920,http://resourcescommittee.house.gov/,http://house.gov/saxton/
10,410,1,9920,http://resourcescommittee.house.gov/,http://house.gov/simpson/
10,418,1,9920,http://resourcescommittee.house.gov/,http://house.gov/solis/
10,419,3,9920,http://resourcescommittee.house.gov/,http://house.gov/souder/
10,428,3,9920,http://resourcescommittee.house.gov/,http://house.gov/tancredo/
10,431,3,9920,http://resourcescommittee.house.gov/,http://house.gov/tauzin/
10,446,1,9920,http://resourcescommittee.house.gov/,http://house.gov/markudall/
10,447,1,9920,http://resourcescommittee.house.gov/,http://house.gov/tomudall/
10,453,3,9920,http://resourcescommittee.house.gov/,http://house.gov/walden/
10,474,3,9920,http://resourcescommittee.house.gov/,http://house.gov/donyoung/
11,1,2,3165,http://house.gov/rules/,http://agriculture.house.gov/
11,2,3,3165,http://house.gov/rules/,http://house.gov/appropriations/
11,8,1,3165,http://house.gov/rules/,http://house.gov/cha/
11,9,1,3165,http://house.gov/rules/,http://house.gov/international_relations/
11,10,1,3165,http://house.gov/rules/,http://resourcescommittee.house.gov/
11,12,1,3165,http://house.gov/rules/,http://house.gov/science/welcome.htm
11,13,1,3165,http://house.gov/rules/,http://house.gov/smbiz/
11,14,1,3165,http://house.gov/rules/,http://house.gov/ethics/
11,16,4,3165,http://house.gov/rules/,http://house.gov/judiciary/
11,17,1,3165,http://house.gov/rules/,http://house.gov/transportation/
11,296,1,3165,http://house.gov/rules/,http://house.gov/mcgovern/
13,18,2,2257,http://house.gov/smbiz/,http://veterans.house.gov/
13,47,3,2257,http://house.gov/smbiz/,http://house.gov/akin/
13,56,1,2257,http://house.gov/smbiz/,http://www.house.gov/ballance/
13,62,1,2257,http://house.gov/smbiz/,http://www.house.gov/beauprez/
13,83,1,2257,http://house.gov/smbiz/,http://www.house.gov/bordallo/
13,87,1,2257,http://house.gov/smbiz/,http://www.house.gov/bradley/
13,102,1,2257,http://house.gov/smbiz/,http://house.gov/capito/
13,112,1,2257,http://house.gov/smbiz/,http://house.gov/chabot/
13,113,1,2257,http://house.gov/smbiz/,http://www.house.gov/chocola/
13,114,1,2257,http://house.gov/smbiz/,http://house.gov/christian-christensen/
13,132,1,2257,http://house.gov/smbiz/,http://house.gov/davis/
13,167,1,2257,http://house.gov/smbiz/,http://house.gov/faleomavaega/
13,180,1,2257,http://house.gov/smbiz/,http://www.house.gov/franks/
13,186,1,2257,http://house.gov/smbiz/,http://www.house.gov/gerlach/
13,191,1,2257,http://house.gov/smbiz/,http://house.gov/gonzalez/
13,197,9,2257,http://house.gov/smbiz/,http://house.gov/graves/
13,249,1,2257,http://house.gov/smbiz/,http://house.gov/suekelly/
13,256,1,2257,http://house.gov/smbiz/,http://www.house.gov/steveking/
13,284,1,2257,http://house.gov/smbiz/,http://www.house.gov/majette/
13,286,1,2257,http://house.gov/smbiz/,http://house.gov/manzullo/
13,293,1,2257,http://house.gov/smbiz/,http://www.house.gov/mccotter/
13,308,1,2257,http://house.gov/smbiz/,http://house.gov/millender-mcdonald/
13,309,2,2257,http://house.gov/smbiz/,http://www.house.gov/bradmiller/
13,395,2,2257,http://house.gov/smbiz/,http://schrock.house.gov/
13,407,1,2257,http://house.gov/smbiz/,http://house.gov/shuster/
13,408,2,2257,http://house.gov/smbiz/,http://www.house.gov/lindasanchez/
13,442,13,2257,http://house.gov/smbiz/,http://house.gov/toomey/
13,447,2,2257,http://house.gov/smbiz/,http://house.gov/tomudall/
13,450,1,2257,http://house.gov/smbiz/,http://house.gov/velazquez/
14,8,2,616,http://house.gov/ethics/,http://house.gov/cha/
14,11,2,616,http://house.gov/ethics/,http://house.gov/rules/
15,53,2,4198,http://budget.house.gov/,http://house.gov/baird/
15,58,2,4198,http://budget.house.gov/,http://www.house.gov/barrett/
15,80,2,4198,http://budget.house.gov/,http://www.house.gov/bonner/
15,90,2,4198,http://budget.house.gov/,http://www.house.gov/brown-waite/
15,92,2,4198,http://budget.house.gov/,http://house.gov/henrybrown/
15,103,2,4198,http://budget.house.gov/,http://house.gov/capps/
15,131,2,4198,http://budget.house.gov/,http://www.house.gov/arturdavis/
15,142,2,4198,http://budget.house.gov/,http://www.house.gov/delauro/
15,147,2,4198,http://budget.house.gov/,http://www.house.gov/mariodiaz-balart/
15,157,2,4198,http://budget.house.gov/,http://house.gov/edwards/
15,159,2,4198,http://budget.house.gov/,http://www.house.gov/emanuel
15,177,2,4198,http://budget.house.gov/,http://house.gov/ford/
15,180,2,4198,http://budget.house.gov/,http://www.house.gov/franks/
15,184,2,4198,http://budget.house.gov/,http://www.house.gov/garrett/
15,202,2,4198,http://budget.house.gov/,http://house.gov/gutknecht/
15,209,2,4198,http://budget.house.gov/,http://house.gov/hastings/
15,213,2,4198,http://budget.house.gov/,http://www.house.gov/hensarling/
15,223,2,4198,http://budget.house.gov/,http://house.gov/hooley/
15,227,2,4198,http://budget.house.gov/,http://house.gov/hulshof/
15,254,2,4198,http://budget.house.gov/,http://house.gov/kind/
15,274,2,4198,http://budget.house.gov/,http://house.gov/johnlewis/
15,284,2,4198,http://budget.house.gov/,http://www.house.gov/majette/
15,293,2,4198,http://budget.house.gov/,http://www.house.gov/mccotter/
15,315,2,4198,http://budget.house.gov/,http://house.gov/moore/
15,317,2,4198,http://budget.house.gov/,http://house.gov/moran/
