id,name,pagerank,url,party,committee,state,district
1,United States. Congress. House. Committee on Agriculture.,0.015489397,http://agriculture.house.gov/,N,N,,
2,United States. Congress. House. Committee on Appropriations.,0.013154013,http://www.house.gov/appropriations/,N,N,,
3,United States. Congress. House. Committee on Armed Services.,0.004467152,http://armedservices.house.gov/,N,N,,
4,United States. Congress. House. Committee on Education and the Workforce.,0.026581175,http://edworkforce.house.gov/,N,N,,
5,United States. Congress. House. Committee on Energy and Commerce.,0.01915373,http://energycommerce.house.gov/,N,N,,
6,United States. Congress. House. Committee on Financial Services.,0.009556883,http://financialservices.house.gov/,N,N,,
7,United States. Congress. House. Committee on Government Reform.,0.004419301,http://reform.house.gov/,N,N,,
8,United States. Congress. House. Committee on House Administration.,0.007171907,http://www.house.gov/cha/,N,N,,
9,United States. Congress. House. Committee on International Relations.,0.014536558,http://www.house.gov/international_relations/,N,N,,
10,United States. Congress. House. Committee on Resources.,0.011960735,http://resourcescommittee.house.gov/,N,N,,
11,United States. Congress. House. Committee on Rules.,0.011839524,http://www.house.gov/rules/,N,N,,
12,United States. Congress. House. Committee on Science.,0.00528594,http://www.house.gov/science/welcome.htm,N,N,,
13,United States. Congress. House. Committee on Small Business.,0.010135669,http://www.house.gov/smbiz/,N,N,,
14,United States. Congress. House. Committee on Standards of Official Conduct.,0.003797415,http://www.house.gov/ethics/,N,N,,
15,United States. Congress. House. Committee on the Budget.,0.002169564,http://budget.house.gov/,N,N,,
16,United States. Congress. House. Committee on the Judiciary.,0.024182499,http://www.house.gov/judiciary/,N,N,,
17,United States. Congress. House. Committee on Transportation and Infrastructure.,0.025770913,http://www.house.gov/transportation/,N,N,,
18,United States. Congress. House. Committee on Veterans' Affairs.,0.01655176,http://veterans.house.gov/,N,N,,
19,United States. Congress. House. Committee on Ways and Means.,0.029458897,http://waysandmeans.house.gov/,N,N,,
20,United States. Congress. House. Permanent Select Committee on Intelligence.,0.005600132,http://intelligence.house.gov/,N,N,,
21,United States. Congress. House. Select Committee on Homeland Security.,0.00855922,http://hsc.house.gov/,N,N,,
22,United States. Congress. Joint Committee on Printing.United States. Government Printing Office.,6.59E-04,http://jcp.senate.gov/,N,N,,
