id,url,name,party
1,http://akaka.senate.gov/,"Akaka, Daniel Kahikina",D
2,http://baucus.senate.gov/,"Baucus, Max",D
3,http://bayh.senate.gov/index1.html,"Bayh, Evan",D
4,http://biden.senate.gov/,"Biden, Joseph R.",D
5,http://bingaman.senate.gov/,"Bingaman, Jeff",D
6,http://boxer.senate.gov/,"Boxer, Barbara",D
7,http://breaux.senate.gov/,"Breaux, John",D
8,http://byrd.senate.gov/,"Byrd, Robert C.",D
9,http://cantwell.senate.gov/,"Cantwell, Maria",D
10,http://carper.senate.gov/,"Carper, Thomas",D
11,http://chafee.senate.gov/,"Chafee, Lincoln D.",D
12,http://clinton.senate.gov/,"Clinton, Hillary Rodham",D
13,http://conrad.senate.gov/,"Conrad, Kent",D
14,http://corzine.senate.gov/,"Corzine, Jon S.",D
15,http://daschle.senate.gov/,"Daschle, Tom",D
16,http://dayton.senate.gov/,"Dayton, Mark",D
17,http://dodd.senate.gov/,"Dodd, Chris",D
18,http://dorgan.senate.gov/,"Dorgan, Byron L.",D
19,http://durbin.senate.gov/,"Durbin, Dick",D
20,http://edwards.senate.gov/,"Edwards, John",D
21,http://feingold.senate.gov/,"Feingold, Russ",D
22,http://feinstein.senate.gov/,"Feinstein, Dianne",D
23,http://graham.senate.gov/,"Graham, Bob",D
24,http://harkin.senate.gov/,"Harkin, Tom",D
25,http://hollings.senate.gov/,"Hollings, Ernest Fritz",D
26,http://inouye.senate.gov/,"Inouye, Daniel K.",D
27,http://johnson.senate.gov/,"Johnson, Tim",D
28,http://kennedy.senate.gov/,"Kennedy, Edward",D
29,http://kerry.senate.gov/,"Kerry, John",D
30,http://kohl.senate.gov/,"Kohl, Herb",D
31,http://landrieu.senate.gov/,"Landrieu, Mary L.",D
32,http://lautenberg.senate.gov/,"Lautenberg, Frank",D
33,http://leahy.senate.gov/,"Leahy, Patrick",D
34,http://levin.senate.gov/,"Levin, Carl",D
35,http://www.house.gov/levin/,"Levin, Sander M.",D
36,http://lieberman.senate.gov/,"Lieberman, Joe",D
37,http://lincoln.senate.gov/,"Lincoln, Blanche",D
38,http://mikulski.senate.gov/,"Mikulski, Barbara A.",D
39,http://miller.senate.gov/,"Miller, Zell",D
40,http://murray.senate.gov/,"Murray, Patty",D
41,http://bennelson.senate.gov/,"Nelson, Ben",D
42,http://billnelson.senate.gov/,"Nelson, Bill",D
43,http://pryor.senate.gov,"Pryor, Mark",D
44,http://reid.senate.gov/,"Reid, Harry",D
45,http://rockefeller.senate.gov/,"Rockefeller, Jay",D
46,http://sarbanes.senate.gov/,"Sarbanes, Paul S.",D
47,http://schumer.senate.gov/,"Schumer, Charles E.",D
48,http://www.senate.gov/~specter/,"Specter, Arlen",D
49,http://stabenow.senate.gov/,"Stabenow, Debbie",D
50,http://wyden.senate.gov/,"Wyden, Ron",D
51,http://alexander.senate.gov/,"Alexander, Lamar",R
52,http://allard.senate.gov/,"Allard, Wayne",R
53,http://allen.senate.gov/,"Allen, George",R
54,http://bennett.senate.gov/,"Bennett, Bob",R
55,http://bond.senate.gov,"Bond, Christopher S. ""Kit""",R
56,http://brownback.senate.gov/,"Brownback, Sam",R
57,http://bunning.senate.gov/,"Bunning, Jim",R
58,http://www.senate.gov/~burns/,"Burns, Conrad",R
59,http://www.house.gov/burns/,"Burns, Max",R
60,http://campbell.senate.gov/,"Campbell, Ben Nighthorse",R
61,http://chambliss.senate.gov/,"Chambliss, Saxby",R
62,http://cochran.senate.gov/,"Cochran, Thad",R
63,http://coleman.senate.gov,"Coleman, Norm",R
64,http://collins.senate.gov/,"Collins, Susan",R
65,http://cornyn.senate.gov/,"Cornyn, John",R
66,http://craig.senate.gov/,"Craig, Larry",R
67,http://crapo.senate.gov/,"Crapo, Mike",R
68,http://dewine.senate.gov/,"DeWine, Mike",R
69,http://dole.senate.gov/,"Dole, Elizabeth H.",R
70,http://domenici.senate.gov/,"Domenici, Pete V.",R
71,http://ensign.senate.gov/,"Ensign, John",R
72,http://enzi.senate.gov/,"Enzi, Mike",R
73,http://fitzgerald.senate.gov/,"Fitzgerald, Peter G.",R
74,http://frist.senate.gov/,"Frist, Bill",R
75,http://grassley.senate.gov/,"Grassley, Chuck",R
76,http://gregg.senate.gov/,"Gregg, Judd",R
77,http://hagel.senate.gov/,"Hagel, Chuck",R
78,http://hatch.senate.gov/,"Hatch, Orrin G.",R
79,http://hutchison.senate.gov/,"Hutchison, Kay Bailey",R
80,http://inhofe.senate.gov/,"Inhofe, James M.",R
81,http://jeffords.senate.gov/,"Jeffords, Jim",R
82,http://kyl.senate.gov/,"Kyl, Jon",R
83,http://lott.senate.gov/,"Lott, Trent",R
84,http://lugar.senate.gov/,"Lugar, Richard G.",R
85,http://mccain.senate.gov/,"McCain, John",R
86,http://mcconnell.senate.gov/,"McConnell, Mitch",R
87,http://murkowski.senate.gov/,"Murkowski, Lisa",R
88,http://nickles.senate.gov/,"Nickles, Don",R
89,http://roberts.senate.gov/,"Roberts, Pat",R
90,http://santorum.senate.gov/,"Santorum, Rick",R
91,http://sessions.senate.gov/,"Sessions, Jeff",R
92,http://shelby.senate.gov/,"Shelby, Richard C.",R
93,http://gsmith.senate.gov/,"Smith, Gordon H.",R
94,http://snowe.senate.gov/,"Snowe, Olympia J.",R
95,http://stevens.senate.gov/,"Stevens, Ted",R
96,http://talent.senate.gov/,"Talent, James",R
97,http://thomas.senate.gov/,"Thomas, Craig",R
98,http://voinovich.senate.gov/,"Voinovich, George V.",R
99,http://warner.senate.gov/,"Warner, John",R
